Location,Nearshore or offshore,Coordinates,Number on Fig 1a map,Minumum depth,Maximum depth,Sample number,Host family,Host genus,Host species,Symbiont transmission mode,Year collected,Dominant symbiont species
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,258,Fungiidae,Fungia,paumotensis,Horizontal,2009,Cladocopium patulum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,605,Fungiidae,Fungia,echinata,Horizontal,2009,Cladocopium patulum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,494,Fungiidae,Fungia,klunzingeri,Horizontal,2009,C3
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,141,Euphylliidae,Galaxea,astreata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,135,Euphylliidae,Galaxea,astreata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,83,Euphylliidae,Galaxea,astreata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,60,Euphylliidae,Galaxea,astreata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,144,Euphylliidae,Galaxea,horrescens,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,138,Euphylliidae,Galaxea,horrescens,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,354,Euphylliidae,Galaxea,cryptonamosa,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,406,Euphylliidae,Galaxea,horrescens,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,216,Euphylliidae,Galaxea,archelia,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,165,Euphylliidae,Galaxea,fascicularis,Horizontal,2009,Durusdinium trenchii
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,485,Euphylliidae,Galaxea,astreata,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,310,Euphylliidae,Galaxea,astreata,Horizontal,2009,Cladocopium patulum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,154,Euphylliidae,Galaxea,astreata,Horizontal,2009,Cladocopium patulum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,505,Euphylliidae,Galaxea,fascicularis,Horizontal,2009,C3
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,418,Agariciidae,Gardineroseris,planulata,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,187,Agariciidae,Gardineroseris,planulata,Horizontal,2009,Cladocopium patulum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,266,Agariciidae,Gardineroseris,planulata,Horizontal,2009,Cladocopium patulum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,376,Agariciidae,Gardineroseris,planulata,Horizontal,2009,Cladocopium patulum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,149,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,58,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,52,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,375,Poritidae,Goniopora,columna,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,414,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,369,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,340,Poritidae,Goniopora,lobata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,101,Fungiidae,Heliofungia,actiniformis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,50,Fungiidae,Heliofungia,actiniformis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,17,Fungiidae,Heliofungia,actiniformis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,91,Fungiidae,Heliofungia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,92,Fungiidae,Heliofungia,,Horizontal,2013,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,341,Fungiidae,Heliofungia,actiniformis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,143,Fungiidae,Herpolitha,limax,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,408,Fungiidae,Herpolitha,weberi,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,355,Fungiidae,Herpolitha,limax,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,214,Fungiidae,Herpolitha,limax,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,271,Fungiidae,Herpolitha,limax,Horizontal,2009,Cladocopium patulum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,441,Merulinidae,Hydnophora,rigida,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,305,Merulinidae,Hydnophora,exesa,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,273,Merulinidae,Hydnophora,rigida,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,497,Merulinidae,Hydnophora,exesa,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,512,Merulinidae,Hydnophora,exesa,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,530,Merulinidae,Hydnophora,rigida,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,285,Merulinidae,Hydnophora,microconos,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,302,Merulinidae,Hydnophora,rigida,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,602,Merulinidae,Hydnophora,exesa,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,589,Merulinidae,Hydnophora,microconos,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,122,Leptastreidae,Leptastrea,bewickensis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,24,Leptastreidae,Leptastrea,bewickensis,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,42,Leptastreidae,Leptastrea,pruinosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,66,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,360,Leptastreidae,Leptastrea,bewickensis,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,438,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,334,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,391,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,C19
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,593,Leptastreidae,Leptastrea,bewickensis,Horizontal,2009,Durusdinium trenchii
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,606,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,Cladocopium patulum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,161,Leptastreidae,Leptastrea,purpurea,Horizontal,2009,C1
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,572,Leptastreidae,Leptastrea,aequalis,Horizontal,2009,C1
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,484,Leptastreidae,Leptastrea,transversa,Horizontal,2009,C1
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,215,Leptastreidae,Leptastrea,pruinosa,Horizontal,2009,C1
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,281,Merulinidae,Leptoria,phrygia,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,240,Merulinidae,Leptoria,phrygia,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,584,Merulinidae,Leptoria,irregularis,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,587,Merulinidae,Leptoria,phrygia,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,518,Merulinidae,Leptoria,phrygia,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,59,Agariciidae,Leptoseris,tubulifera,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,11,Agariciidae,Leptoseris,yabei,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,22,Agariciidae,Leptoseris,yabei,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,190,Agariciidae,Leptoseris,mycetoseroides,Horizontal,2009,C1
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,222,Agariciidae,Leptoseris,yabei,Horizontal,2009,C1
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,21,Agariciidae,Leptoseris,yabei,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,20,Lobophylliidae,Lobophyllia,hataii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,97,Lobophylliidae,Lobophyllia,corymbosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,44,Lobophylliidae,Lobophyllia,corymbosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,41,Lobophylliidae,Lobophyllia,corymbosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,112,Lobophylliidae,Lobophyllia,hataii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,136,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,134,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,131,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,110,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,94,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,81,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,67,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,33,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,15,Lobophylliidae,Lobophyllia,Lobophyllia hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,4,Lobophylliidae,Lobophyllia,Lobophyllia hemprichii,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,2,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,4,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,13,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,23,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,32,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,58,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,61,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,71,Lobophylliidae,Lobophyllia,,Horizontal,2013,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,453,Lobophylliidae,Lobophyllia,pachysepta,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,437,Lobophylliidae,Lobophyllia,robusta,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,387,Lobophylliidae,Lobophyllia,corymbosa,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,421,Lobophylliidae,Lobophyllia,hataii,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,325,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,411,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,349,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium madreporum
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,385,Lobophylliidae,Lobophyllia,pachysepta,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,221,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Durusdinium trenchii
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,544,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,168,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium patulum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,513,Lobophylliidae,Lobophyllia,hemprichii,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,239,Lobophylliidae,Lobophyllia,robusta,Horizontal,2009,Cladocopium madreporum
West Channel Coral Flat,offshore,"7°54.551"" N, 134°46.688"" E",5,2,10,140,Lobophylliidae,Lobophyllia,,Horizontal,2013,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,90,Merulinidae,Merulina,scabricula,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,86,Merulinidae,Merulina,scabricula,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,54,Merulinidae,Merulina,scabricula,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,38,Merulinidae,Merulina,scabricula,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,31,Merulinidae,Merulina,scabriculata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,447,Merulinidae,Merulina,ampliata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,337,Merulinidae,Merulina,ampliata,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,111,Merulinidae,Merulina,ampliata,Horizontal,2009,C21d
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,178,Merulinidae,Merulina,scabricula,Horizontal,2009,Cladocopium patulum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,234,Merulinidae,Merulina,ampliata,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,529,Merulinidae,Merulina,ampliata,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,127,Montastraeidae,Montastrea,magnistellata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,120,Montastraeidae,Montastrea,magnistellata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,85,Montastraeidae,Montastrea,magnistellata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,48,Montastraeidae,Montastrea,magnistellata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,25,Montastraeidae,Montastrea,magnistellata,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,3,Montastraeidae,Montastrea,Montastrea magnistellata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,452,Montastraeidae,Montastrea,magnestillata,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,364,Montastraeidae,Montastrea,magnestillata,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,613,Montastraeidae,Montastrea,curta,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,597,Montastraeidae,Montastrea,curta,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,3,5,574,Montastraeidae,Montastrea,curta,Horizontal,2009,Cladocopium madreporum
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,548,Montastraeidae,Montastrea,valenciennesi,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,125,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,18,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,386,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,196,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,275,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,176,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,160,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,527,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Rebotel Barrier Reef,offshore,"7°14.93"" N, 134°14.149"" E",1,10,18,514,Merulinidae,Mycedium,elephantotus,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,35,Merulinidae,Oulophyllia,bennettae,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,363,Merulinidae,Oulophyllia,bennettae,Horizontal,2009,Cladocopium madreporum
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,3,5,287,Merulinidae,Oulophyllia,crispa,Horizontal,2009,Cladocopium madreporum
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,61,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,34,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,7,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Durusdinium trenchii
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,2,4,449,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Durusdinium trenchii
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,207,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Cladocopium undescribed spp. (ITS2 type C21)
East Outer Reef,offshore,"7°26.161"" N, 134°52.068"" E",4,12,18,195,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Cladocopium undescribed spp.
Rock Island South,nearshore,"7°24.49"" N, 134°37.405"" E",2,10,14,351,Lobophylliidae,Oxypora,lacera,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,28,Pachyseridae,Pachyseris,Pachyseris rugosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,27,Pachyseridae,Pachyseris,Pachyseris speciosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,5,Pachyseridae,Pachyseris,Pachyseris speciosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,116,Pachyseridae,Pachyseris,rugosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,64,Pachyseridae,Pachyseris,rugosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,8,12,46,Pachyseridae,Pachyseris,speciosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,3,132,Pachyseridae,Pachyseris,speciosa,Horizontal,2009,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,24,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,29,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,36,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,45,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,52,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,64,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
Ngermid Bay,nearshore,"7°19'28.2"" N 134°29'38.0"" E",3,1,12,84,Pachyseridae,Pachyseris,,Horizontal,2013,Durusdinium trenchii
